Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSCountry,Windows - Chrome 106.0.0.0,,,2023-01-26 09:45:29,2023-01-26 09:49:10,3m - 40.681s,PASSED
,,,,,,,
Test Cases/Testcloud,Windows - Chrome 106.0.0.0,,,2023-01-26 09:45:30,2023-01-26 09:49:10,3m - 40.420s,PASSED
Start listener action : enableSauceLabs,Windows - Chrome 106.0.0.0,,,2023-01-26 09:45:30,2023-01-26 09:45:30,0.007s,PASSED
"openBrowser("""")",Windows - Chrome 106.0.0.0,,,2023-01-26 09:45:30,2023-01-26 09:48:34,3m - 4.304s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Windows - Chrome 106.0.0.0,,,2023-01-26 09:48:34,2023-01-26 09:48:45,10.988s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Windows - Chrome 106.0.0.0,,,2023-01-26 09:48:45,2023-01-26 09:48:52,6.616s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Windows - Chrome 106.0.0.0,,,2023-01-26 09:48:52,2023-01-26 09:48:59,7.063s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Windows - Chrome 106.0.0.0,,,2023-01-26 09:48:59,2023-01-26 09:49:03,4.482s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Windows - Chrome 106.0.0.0,,,2023-01-26 09:49:03,2023-01-26 09:49:10,6.691s,PASSED
Start listener action : sampleAfterTestCase,Windows - Chrome 106.0.0.0,,,2023-01-26 09:49:10,2023-01-26 09:49:10,0.003s,PASSED
Start listener action : autoUpdateJobStatus,Windows - Chrome 106.0.0.0,,,2023-01-26 09:49:10,2023-01-26 09:49:10,0.001s,PASSED
