Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Healcare Login,Chrome 109.0.0.0,,,2023-01-27 10:31:52,2023-01-27 10:32:02,10.155s,PASSED
,,,,,,,
Test Cases/Healthcare Login,Chrome 109.0.0.0,,,2023-01-27 10:31:52,2023-01-27 10:32:02,9.857s,PASSED
Start listener action : enableSauceLabs,Chrome 109.0.0.0,,,2023-01-27 10:31:52,2023-01-27 10:31:52,0.009s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-27 10:31:52,2023-01-27 10:31:55,2.981s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-01-27 10:31:55,2023-01-27 10:31:58,2.572s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 109.0.0.0,,,2023-01-27 10:31:58,2023-01-27 10:31:59,0.974s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 109.0.0.0,,,2023-01-27 10:31:59,2023-01-27 10:32:00,1.241s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 109.0.0.0,,,2023-01-27 10:32:00,2023-01-27 10:32:01,0.539s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 109.0.0.0,,,2023-01-27 10:32:01,2023-01-27 10:32:02,1.226s,PASSED
Start listener action : sampleAfterTestCase,Chrome 109.0.0.0,,,2023-01-27 10:32:02,2023-01-27 10:32:02,0.002s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 109.0.0.0,,,2023-01-27 10:32:02,2023-01-27 10:32:02,0.001s,PASSED
