Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo Healcare Login,Chrome 109.0.0.0,,,2023-01-27 10:56:39,2023-01-27 10:56:51,11.734s,PASSED
,,,,,,,
Test Cases/Demo Healthcare Login,Chrome 109.0.0.0,,,2023-01-27 10:56:40,2023-01-27 10:56:51,11.356s,PASSED
Start listener action : enableSauceLabs,Chrome 109.0.0.0,,,2023-01-27 10:56:40,2023-01-27 10:56:40,0.010s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-27 10:56:40,2023-01-27 10:56:44,4.035s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 109.0.0.0,,,2023-01-27 10:56:44,2023-01-27 10:56:47,2.720s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 109.0.0.0,,,2023-01-27 10:56:47,2023-01-27 10:56:48,1.033s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 109.0.0.0,,,2023-01-27 10:56:48,2023-01-27 10:56:49,1.302s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 109.0.0.0,,,2023-01-27 10:56:49,2023-01-27 10:56:50,0.622s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 109.0.0.0,,,2023-01-27 10:56:50,2023-01-27 10:56:51,1.154s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-01-27 10:56:51,2023-01-27 10:56:51,0.154s,PASSED
Start listener action : sampleAfterTestCase,Chrome 109.0.0.0,,,2023-01-27 10:56:51,2023-01-27 10:56:51,0.001s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 109.0.0.0,,,2023-01-27 10:56:51,2023-01-27 10:56:51,0.002s,PASSED
